"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/14 8:49:34 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/14 8:50:14 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 8:50:46 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/14 8:51:08 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 8:51:41 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 8:52:08 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 8:52:38 pm EEST","Male","18-24 years","Economy","Laptop","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 8:53:13 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 8:53:45 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 8:54:13 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 8:54:52 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 8:55:30 pm EEST","Female","18-24 years","Business","Laptop","Occasionally","100-500 MB","Yes","Earphone ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/14 8:55:58 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/14 8:56:28 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 8:57:01 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/14 8:57:42 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 8:58:11 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/14 8:58:41 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 8:59:02 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 9:39:42 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 9:40:07 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 9:40:30 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 9:40:52 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/14 9:41:24 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 9:41:55 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 9:42:29 pm EEST","Female","18-24 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/14 9:43:04 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/14 9:43:35 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/14 9:44:09 pm EEST","Female","18-24 years","Business","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/15 9:38:40 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:39:12 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/15 9:39:50 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/15 9:40:14 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/15 9:40:38 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/15 9:41:32 pm EEST","Male","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","4-6 hours","Less than 5 times","No","Business"
"2024/10/15 9:42:05 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:42:35 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/15 9:43:05 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/15 9:43:40 pm EEST","Female","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Earphone ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/15 9:44:04 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:44:42 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:45:09 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:45:37 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/15 9:46:16 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/15 9:46:49 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/15 9:47:25 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","6-10 times","No","Business"
"2024/10/15 9:47:54 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/18 8:00:38 pm EEST","Male","18-24 years","Economy","Tablet","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:01:16 pm EEST","Male","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/18 8:01:47 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","6-10 times","No","Business"
"2024/10/18 8:02:08 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:02:31 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:02:59 pm EEST","Female","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","6-10 times","No","Business"
"2024/10/18 8:03:30 pm EEST","Female","18-24 years","Economy","None ","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Leisure"
"2024/10/18 8:04:00 pm EEST","Male","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","4-6 hours","Less than 5 times","No","Business"
"2024/10/18 8:04:28 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/18 8:04:56 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/18 8:05:30 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:06:07 pm EEST","Female","18-24 years","Business","Laptop","Frequently","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","Yes","Business"
"2024/10/18 8:06:33 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/18 8:07:03 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/18 8:07:33 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/18 8:08:05 pm EEST","Male","18-24 years","Economy","Tablet","Occasionally","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/18 8:08:37 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/18 8:09:06 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/18 8:09:36 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:09:57 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/18 8:10:41 pm EEST","Male","18-24 years","Business","Laptop","Frequently","100-500 MB","Yes","Earphone ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/18 8:11:09 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/18 8:11:30 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/19 8:17:51 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/19 8:18:21 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/19 8:18:44 am EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/19 8:19:11 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/19 8:20:01 am EEST","Female","18-24 years","Business","Laptop","Frequently","100-500 MB","Yes","Charging ","Domestic","8-10 hours","Less than 5 times","Yes","Business"
"2024/10/19 8:20:30 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/19 8:20:55 am EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/19 8:21:33 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/19 8:22:12 am EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/19 8:22:39 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/19 8:23:16 am EEST","Male","18-24 years","Economy","Laptop","Frequently","100-500 MB","Yes","Charging ","Domestic","4-6 hours","Less than 5 times","No","Business"
"2024/10/19 8:23:40 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/19 8:24:13 am EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/19 8:24:44 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/19 8:25:12 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/19 8:25:39 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:21:26 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/20 7:22:00 pm EEST","Female","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/20 7:22:24 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:22:47 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:23:18 pm EEST","Male","18-24 years","Business","Laptop","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:23:51 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:24:16 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:24:45 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/20 7:25:11 pm EEST","Male","18-24 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:25:43 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:26:12 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:26:44 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:27:25 pm EEST","Male","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/20 7:27:55 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:28:26 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:29:04 pm EEST","Female","18-24 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging ","Domestic","8-10 hours","Less than 5 times","No","Business"
"2024/10/20 7:29:25 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:29:50 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:30:23 pm EEST","Female","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:30:51 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:31:20 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Leisure"
"2024/10/20 7:31:44 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/20 7:32:13 pm EEST","Female","18-24 years","Economy","Laptop","Frequently","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","6-10 times","No","Business"
"2024/10/20 7:32:34 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/20 7:33:02 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:33:23 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:33:51 pm EEST","Male","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:34:20 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:34:45 pm EEST","Male","18-24 years","Economy","Smartphone","Frequently","100-500 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:35:28 pm EEST","Female","18-24 years","Business","Smartphone","Frequently","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/20 7:35:59 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Charging ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:36:27 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/20 7:38:21 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/20 7:39:15 pm EEST","Female","18-24 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"